produto_id,quantidade,nome
20370,100,LUBRIFICANTES
20371,100,5W30
20372,100,OLEO HIDRAULICO
20373,100,15W40
20374,100,20W50
20375,100,OLEO 20W50 CASTROL GTX
20376,100,CAMBIO 90
20377,100,CAMBIO 80
20378,100,OLEO DEXON III
20379,100,OLEO DEXON 6 (CASTROL )
20380,100,ATF 500ML HIDRAULICO
20381,100,DOT3 FLUIDO FREIO
20383,100,DOT4 FLUIDO FREIO
20384,100,MINI MERCADO
20385,100,ANTENA DECORATIVA PRETA
20386,100,ADITIVO RADIADOR
20387,100,ANTI FERRUGEM
20388,100,DESCARBONIZANTE
20389,100,ADITIVO DE COMBUSTIVEL
20390,100,CERA AUTOMOTIVA
20391,100,MASSA PARA POLIR
20392,100,ESTOPA
20393,100,GRAFITE EM PO
20394,100,AGUA DESMINERALIZADA
20395,100,CHERINHO AUTOMOTIVO
20396,100,CAPA VOLANTE
20397,100,BUZINA UNIVERSAL
20398,100,CAPA PARAFUSO RODA CROMADO 17MM/19MM
20399,100,PEDAL PLASTICO FUSCA
20400,100,SILICONE EM GEL
20401,100,PNEU PRETINHO
20402,100,PNEU PRETINHO GEL
20403,100,SHAMPOO AUTOMOTIVO
20404,100,TRIANGULO DE SEGURANÇA
20405,100,PEDALEIRA ESPORTIVA
20406,100,MACACO JOELHO
20407,100,CHAVE DE RODA CRUZ
20408,100,FITA ISOLANTE
20409,100,FITA DUPLA FACE
20410,100,OLHO DE GATO ( PORTA )
20411,100,SILICONE BLACK
20412,100,SILICONE VIDRO
20413,100,SILICONE SPRAY
20414,100,CABO DE TRANSFERENCIA CARGA 300 AMP
20415,100,CAPA DE BANCO
20416,100,CAPA PARA AUTOMOVEL P
20417,100,CAPA PARA AUTOMOVEL M
20418,100,CAPA PARA AUTOMOVEL G
20419,100,LOCTAITE SILICONE PRETO
20420,100,SILICONE CINZA ( WHURT )
20421,100,TINTA SPRAY
20422,100,LIMPA CONTATO
20423,100,FILTROS DE OLEO
20424,100,TM1 FORD NEW FIESTA / ZETEC 1.6 2.0 / DURATECH / CHT AE / FIORINO MPI
20425,100,TM2 VW G2 G3 G4 G5 1.0 1.6 2.0 FOX / POLO / NEW BEETLE
20426,100,TM3 FAMILIA GM 1 2 3
20427,100,TM4 FIAT FIASA / 206 / 205 / MEGANE / SCENIC / KANGOO
20428,100,TM5 MOTOR FIRE / HB20 / TUCSON / I30 / CIVIC / FIT / SANDERO
20429,100,CITROEN AIRCROSS 1.6 16V
20430,100,WOE710 C3/206
20431,100,FILTRO AR DO MOTOR
20432,100,FIAT
