id,nome,preco,quantidade
20371,5W30,28.00,0
20372,OLEO HIDRAULICO,18.00,0
20373,15W40,26.00,0
20374,20W50,20.00,0
20375,OLEO 20W50 CASTROL GTX,28.00,0
20376,CAMBIO 90,26.00,0
20377,CAMBIO 80,26.00,0
20378,OLEO DEXON III,31.50,0
20379,OLEO DEXON 6 (CASTROL ),70.00,0
20380,ATF 500ML HIDRAULICO,15.00,0
20381,DOT3 FLUIDO FREIO,18.00,0
20383,DOT4 FLUIDO FREIO,21.00,0
20384,MINI MERCADO,0.00,0
20385,ANTENA DECORATIVA PRETA,20.00,0
20386,ADITIVO RADIADOR,10.00,0
20387,ANTI FERRUGEM,14.00,0
20388,DESCARBONIZANTE,18.00,0
20389,ADITIVO DE COMBUSTIVEL,15.00,0
20390,CERA AUTOMOTIVA,17.00,0
20391,MASSA PARA POLIR,18.00,0
20392,ESTOPA,8.00,0
20393,GRAFITE EM PO,12.00,0
20394,AGUA DESMINERALIZADA,5.00,0
20395,CHERINHO AUTOMOTIVO,15.00,0
20396,CAPA VOLANTE,25.00,0
20397,BUZINA UNIVERSAL,40.00,0
20398,CAPA PARAFUSO RODA CROMADO 17MM/19MM,20.00,0
20399,PEDAL PLASTICO FUSCA,6.00,0
20400,SILICONE EM GEL,15.00,0
20401,PNEU PRETINHO,10.00,0
20402,PNEU PRETINHO GEL,15.00,0
20403,SHAMPOO AUTOMOTIVO,8.00,0
20404,TRIANGULO DE SEGURANÇA,15.00,0
20405,PEDALEIRA ESPORTIVA,35.00,0
20406,MACACO JOELHO,82.50,0
20407,CHAVE DE RODA CRUZ,38.00,0
20408,FITA ISOLANTE,6.00,0
20409,FITA DUPLA FACE,3.50,0
20410,OLHO DE GATO ( PORTA ),12.00,0
20411,SILICONE BLACK,25.00,0
20412,SILICONE VIDRO,15.00,0
20413,SILICONE SPRAY,20.00,0
20414,CABO DE TRANSFERENCIA CARGA 300 AMP,38.00,0
20415,CAPA DE BANCO,95.00,0
20416,CAPA PARA AUTOMOVEL P,72.00,0
20417,CAPA PARA AUTOMOVEL M,72.00,0
20418,CAPA PARA AUTOMOVEL G,72.00,0
20419,LOCTAITE SILICONE PRETO,70.00,0
20420,SILICONE CINZA ( WHURT ),15.00,0
20421,TINTA SPRAY,22.00,0
20422,LIMPA CONTATO,20.00,0
20423,FILTROS DE OLEO,28.00,0
20424,TM1 FORD NEW FIESTA / ZETEC 1.6 2.0 / DURATECH / CHT AE / FIORINO MPI,18.00,0
20425,TM2 VW G2 G3 G4 G5 1.0 1.6 2.0 FOX / POLO / NEW BEETLE,20.00,0
20426,TM3 FAMILIA GM 1 2 3,18.00,0
20427,TM4 FIAT FIASA / 206 / 205 / MEGANE / SCENIC / KANGOO,18.00,0
20428,TM5 MOTOR FIRE / HB20 / TUCSON / I30 / CIVIC / FIT / SANDERO,18.00,0
20429,CITROEN AIRCROSS 1.6 16V,0.00,0
20430,WOE710 C3/206,25.00,0
20431,FILTRO AR DO MOTOR,42.00,0
20432,FIAT,0.00,0
20433,FAP2831 PALIO / STRADA / WENK / FIRE / FIRE EVO,20.00,0
20434,FAP9015 PUNTO 1.4,0.00,0
20435,FAP9054 UNO ( NOV0 )1.0 1.4 10..,30.00,0
20436,FORD,0.00,0
20437,FAP9003 FIESTA/A/ECO ZETEC 1.0 1.6,28.50,0
20438,GM,0.00,0
20439,FAP3280 CORSA 1.0 1.4 1.8 02../ MERIVA / MONTANA,28.00,0
20440,FAP3289 CELTA 1.0 1.4,20.00,0
20441,VW,0.00,0
20442,WR201 MOTOR AP VW / FORD,28.00,0
20443,FAP2214 GOL / FOX / VOYAGE 1.0 FLEX 02...,20.00,0
20444,FAP2217 GOL / FOX / VOYAGE 1.0 8V,0.00,0
20445,FAP7007 FOX / CROSS FOX / SPACE FOX 1.6 8V,30.00,0
20446,FILTRO DE CABINE,0.00,0
20447,FIAT,0.00,0
20448,AKX35321 PALIO/SIENA 01/11 FIRE / PALIO/SIENA ETORK,0.00,0
20449,UNO 1.0 1.4 10/ FIRE FLEX,0.00,0
20450,AKX1375 PUNTO / LINEA,0.00,0
20451,FORD,0.00,0
20452,AKX35346 FIESTA/ECOSPORT/FUSION 06,0.00,0
20453,GM,0.00,0
20454,AKX35264 ASTRA/VECTRA 2.2 2.4 06,0.00,0
20455,AKX35285 ASTRA 2.0 03/ ZAFIRA 01,0.00,0
20456,CORSA 02/ MONTANA 07,0.00,0
20457,***********,0.00,0
20458,***********,0.00,0
20459,VW,0.00,0
20460,AKX35163 GOL/VOYAGE/FOX/POLO 02,18.00,0
20461,AKX1129F VIRTUS/POLO 17,0.00,0
20462,IMPORTADOS,0.00,0
20463,AKX1939 CITY 1.5 / FIT 1.5 09,0.00,0
20464,AKX1998 TUCSON / ELANTRA,24.00,0
20465,AKX2004 I30,0.00,0
20466,AKX1399 SANDERO 1.0 16V HIFLEX,35.00,0
20467,AKX1965 COROLLA / HILUX / SW4 / SRV 05,22.50,0
20468,AKX1962 COROLLA 1.8 07 / RAV4 1.8 2.0,0.00,0
20469,AKX2161 ETIOS 1.3 / 1.5,0.00,0
20470,FILTRO DE COMBUSTIVEL,28.00,0
20471,FCC2160 CARB PEQUENO,10.00,0
20472,LAMPADAS,4.00,0
20473,H1,8.00,0
20474,H1 LED,5.00,0
20475,H3,8.00,0
20476,H3 LED,0.00,0
20477,H4,15.00,0
20478,H4 SUPER BRANCA,18.00,0
20479,H4 ULTRALED,185.00,0
20480,H7,15.00,0
20481,H7 SUPER BRANCA,15.00,0
20482,H7 LED,65.00,0
20483,PINGAO,2.00,0
20484,PINGAO AZUL,2.00,0
20485,PINGAO LED,5.00,0
20486,1 POLO,3.00,0
20487,1 POLO AMBAR,3.50,0
20488,2 POLO,3.00,0
20489,2 POLO AMBAR,3.50,0
20490,TORPEDO,2.00,0
20491,PINGUINHO,0.00,0
20492,PINGAO 1 POLO,2.00,0
20493,PINGAO 2 POLO,0.00,0
20494,SOQUETE LAMPADA,0.00,0
20495,SOQUETE 1 POLO,7.00,0
20496,SOQUETE 2 POLO,2.50,0
20497,SOQUETE H1,0.00,0
20498,SOQUETE H7,0.00,0
20499,SOQUETE H4,0.00,0
20500,PALHETAS DIANTEIRA,15.00,0
20501,16',30.00,0
20502,M99391 16''SILICONE,15.00,0
20503,17',0.00,0
20504,PALHETAS FERRO,32.00,0
20505,M99383 18',18.00,0
20506,M99392 18''SILICONE,17.00,0
20507,M99384 19',17.00,0
20508,M99393 19''SILICONE,17.00,0
20509,M99385 20',17.00,0
20510,M99394 20''SILICONE,17.00,0
20511,M99386 21',18.00,0
20512,M99395 21''SILICONE,17.00,0
20513,M99387 22',0.00,0
20514,M99396 22''SILICONE,17.00,0
20515,M99462 21' 19',35.00,0
20516,19''SILICONE,0.00,0
20517,M99388 24',20.00,0
20518,M99398 24''SILICONE,18.00,0
20519,PALHETA ESPECIFICA,0.00,0
20520,M99828 CITY/FIT/ONIX 19>,38.00,0
20521,M99813 ONIX 13/PRISMA,38.00,0
20522,M99807 KA 10,38.00,0
20523,M99812 GOL/SAV/VOYAGE G6 UP,38.00,0
20524,M99805 CROSFOX/FOX/SPACEFOX 13 ..,38.00,0
20525,M99800 NOVO UNO 15... / ARGO 17,38.00,0
20526,M99820 SANDERO/LOGAN 14,38.00,0
20527,PS2615A LINEA 08 / PUNTO 08/ OMEGA 08/ SONIC 12,45.00,0
20528,M99801 PALIO/GRAN SIENA 12,38.00,0
20529,PALHETAS TRASEIRA,0.00,0
20530,FIAT,0.00,0
20531,PALIO 01/07 / DOBLO 04/09 / STILO 02/11 14'',0.00,0
20532,IDEA/IDEA ADV 06/10 16'',0.00,0
20533,PALIO 08 / IDEA 12 12'',0.00,0
20534,PALIO 04 / PALIO WEEK 01/03 15'',0.00,0
20535,PUNTO 08 12'',0.00,0
20536,UNO/PALIO WEEK 97/00 / IDEA 13'',0.00,0
20537,FORD,0.00,0
20538,FIESTA 00/05 12'',0.00,0
20539,FOCUS 08/12 14'',0.00,0
20540,KA 02/13 13'',0.00,0
20541,GM,0.00,0
20542,ONIX 13 / AGILE 10 / CELTA 14 / 12'',0.00,0
20543,SPIN 12 11'',0.00,0
20544,CORSA 4P/CORSA WEGON / BLAZER 13'',0.00,0
20545,CORSA HATCH / MERIVA /CELTA 04 15'',0.00,0
20546,VW,0.00,0
20547,GOL 10'' SILICONE,15.00,0
20548,GOL/PARATI/SPACEFOX 05/12 14'',0.00,0
20549,GOL G3 99/05 16'',0.00,0
20550,FOX/GOLF 08 /POLO 13 12'',15.00,0
20551,PARATI G3 / POLO 99/02 13'',0.00,0
20552,IMPORTADOS,0.00,0
20553,C3 09 12'',0.00,0
20554,C3 02/08 14'',0.00,0
20555,CRV 14 12'',0.00,0
20556,FIT NEW 09/14 14'',0.00,0
20557,SANTA FE 01/06 13'',0.00,0
20558,TUCSON 05/ 12'',0.00,0
20559,SPORTAGE 12'',0.00,0
20560,PICANTO 06/11 12'',0.00,0
20561,GRADE DO RADIADOR,0.00,0
20562,FIAT,0.00,0
20563,FIORINO 95 ...,40.00,0
20564,UNO 85/90 COMPLETA,65.00,0
20565,UNO 91/98,40.00,0
20566,M13338 UNO SMART,35.00,0
20567,M13320 UNO FIRE/FIORIONO 02/04,30.00,0
20568,UNO MILLE ELETRONIC FILETADA,65.00,0
20569,UNO FIRE 04/05,62.00,0
20570,UNO FIRE FLEX 06/08,40.00,0
20571,M13344 UNO/FIORINO 09...,48.00,0
20572,UNO ATRACTIVE 15/16,42.00,0
20573,UNO 17...,60.00,0
20574,M15300 PALIO/STRADA 01/03,30.00,0
20575,M15313 PALIO 05... C/MOLDURA PRETA,57.00,0
20576,MS10341 ROTULA CAMBIO GOL 86/94,22.00,0
20577,M15314 PALIO 08/11 /SIENA/WEEK/STRADA F/CROMADO,105.00,0
20578,M15315 PALIO 08/11 /SIENA/WEEK/STRADA F/PRETO,80.00,0
20579,M15318 PALIO/SIENA ECONOMY F/CROMADO,135.00,0
20580,IDEA 03/10,185.00,0
20581,GRAN SIENA 13... CROMADA,120.00,0
20582,MOBI 14...,0.00,0
20583,ARGO 17...,0.00,0
20584,FORD,0.00,0
20585,F1000 85/92 PRETA,165.00,0
20586,DEL REY 85/92 PLASTICO,48.00,0
20587,COURIE 96/99,38.00,0
20588,M34312 COURIER 00/12,40.00,0
20589,FIESTA 96/99,45.00,0
20590,FIESTA STREET 00/06,65.00,0
20591,FIESTA SUPERCHARGE 03/06,0.00,0
20592,FIESTA SEDAN 00/06,38.00,0
20593,M24307 FIESTA 07/10,55.00,0
20594,M24314 FIESTA 11/14,110.00,0
20595,FIESTA HATCH 14... FRISO CROMADO,175.00,0
20596,M24308 FIESTA HATCH 14... FRISO PRETO,152.00,0
20597,KA 97/00,25.00,0
20598,KA 01/03,80.00,0
20599,KA 04/07,75.00,0
20600,KA 14...,0.00,0
20601,ECOSPORT 03/07,80.00,0
